osm_id,place,plz,landkreis,bundesland,nuts3,nuts2,nuts1
1248405,Eich,67575,Landkreis Alzey-Worms,Rheinland-Pfalz,DEB33,DEB3,DEB
418888,Eichelhardt,57612,Landkreis Altenkirchen,Rheinland-Pfalz,DEB33,DEB3,DEB
415717,Eichen,57632,Landkreis Altenkirchen,Rheinland-Pfalz,DEB33,DEB3,DEB
933488,Eichenau,82223,Landkreis Fürstenfeldbruck,Bayern,DEB33,DEB3,DEB
1060407,Eichenbach,53533,Landkreis Ahrweiler,Rheinland-Pfalz,DEB33,DEB3,DEB
1273265,Eichenberg,98553,Landkreis Hildburghausen,Thüringen,DEB33,DEB3,DEB
2748748,Eichenberg,7768,Saale-Holzland-Kreis,Thüringen,DEG0J,DEG0,DEG
393541,Eichenbühl,63928,Landkreis Miltenberg,Bayern,DEB33,DEB3,DEB
393541,Eichenbühl,74731,Landkreis Miltenberg,Bayern,DEB33,DEB3,DEB
393541,Eichenbühl,97896,Landkreis Miltenberg,Bayern,DEB33,DEB3,DEB
959906,Eichendorf,94428,Landkreis Dingolfing-Landau,Bayern,DEB33,DEB3,DEB
454872,Eichenzell,36124,Landkreis Fulda,Hessen,DEB33,DEB3,DEB
443614,Eichigt,8626,Vogtlandkreis,Sachsen,DED44,DED4,DED
943557,Eichstätt,85072,Landkreis Eichstätt,Bayern,DEB33,DEB3,DEB
1284757,Eichstedt (Altmark),39596,Landkreis Stendal,Sachsen-Anhalt,DEB33,DEB3,DEB
2808127,Eichstegen,88361,Landkreis Ravensburg,Baden-Württemberg,DEB33,DEB3,DEB
70125,Eichstetten,79356,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg,DEB33,DEB3,DEB
2396095,Eichstruth,37318,Landkreis Eichsfeld,Thüringen,DEB33,DEB3,DEB
55773,Eichwalde,15732,Landkreis Dahme-Spreewald,Brandenburg,DEB33,DEB3,DEB
1808862,Eickeloh,29693,Landkreis Heidekreis,Niedersachsen,DEB33,DEB3,DEB
1797622,Eicklingen,29358,Landkreis Celle,Niedersachsen,DEB33,DEB3,DEB
1236166,Eigeltingen,78253,Landkreis Konstanz,Baden-Württemberg,DEB33,DEB3,DEB
